epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_duration_sec,checkpoint_count,checkpoint_time_sec,checkpoint_size_mb
7,0.4020709693431854,80.625,0.7590266466140747,71.25,26.233657598495483,0,0.0,0.0
8,0.39622026681900024,80.0,0.7210483551025391,70.0,22.390044927597046,0,0.0,0.0
9,0.3912261128425598,82.5,0.7605775594711304,75.0,20.461859941482544,1,0.6880428791046143,46.36115741729736
10,0.33643394708633423,85.3125,0.7926778793334961,70.0,20.514947175979614,0,0.0,0.0
11,0.35953086614608765,82.5,0.79445481300354,72.5,20.53872847557068,0,0.0,0.0
12,0.34249648451805115,81.875,0.8053867816925049,75.0,20.641003131866455,0,0.0,0.0
13,0.3364887237548828,84.0625,0.907317042350769,72.5,20.568165063858032,0,0.0,0.0
14,0.2882801294326782,87.8125,0.9314409494400024,72.5,20.565439701080322,1,0.7499926090240479,46.36115741729736
15,0.29022711515426636,86.25,0.8860682249069214,71.25,20.552310943603516,0,0.0,0.0
16,0.27008235454559326,87.5,0.9613430500030518,72.5,20.57628631591797,0,0.0,0.0
17,0.24443218111991882,87.8125,1.0095921754837036,71.25,20.57986807823181,0,0.0,0.0
18,0.24538391828536987,90.0,1.0596404075622559,68.75,22.97516965866089,0,0.0,0.0
19,0.22992761433124542,90.625,1.0507266521453857,70.0,20.57439875602722,1,0.8417856693267822,46.36115741729736
