epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_duration_sec,checkpoint_count,checkpoint_time_sec,checkpoint_size_mb
10,0.3186729848384857,85.0,0.8206075429916382,73.75,26.819446802139282,1,0.6355245113372803,46.36109638214111
11,0.336067259311676,83.125,0.8629335165023804,72.5,25.033267974853516,0,0.0,0.0
12,0.3290574550628662,83.4375,0.8397059440612793,72.5,20.585602283477783,0,0.0,0.0
13,0.32094907760620117,85.0,0.9260381460189819,70.0,22.337605953216553,0,0.0,0.0
14,0.27211621403694153,87.8125,0.9855578541755676,71.25,20.60327911376953,1,0.5994961261749268,46.36109638214111
15,0.28229647874832153,86.25,0.9148702025413513,70.0,20.657103300094604,0,0.0,0.0
16,0.2602216899394989,88.75,1.005124568939209,72.5,21.301435947418213,0,0.0,0.0
17,0.23605214059352875,87.8125,1.0611035823822021,71.25,20.668086051940918,0,0.0,0.0
18,0.24084189534187317,89.375,1.135509729385376,67.5,20.62723422050476,0,0.0,0.0
19,0.22046644985675812,89.375,1.108502745628357,70.0,23.249945402145386,1,0.6088719367980957,46.36109638214111
