epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_duration_sec,checkpoint_count,checkpoint_time_sec,checkpoint_size_mb
7,0.4021368622779846,80.625,0.7584342956542969,71.25,25.166666746139526,0,0.0,0.0
8,0.3961302638053894,80.0,0.7204939723014832,70.0,48.36737251281738,0,0.0,0.0
9,0.39105480909347534,82.5,0.7605054378509521,75.0,45.59638547897339,1,0.8403334617614746,46.36115741729736
10,0.33630242943763733,85.3125,0.7931336760520935,70.0,45.871055126190186,0,0.0,0.0
11,0.35919177532196045,82.5,0.7944450378417969,72.5,45.13187217712402,0,0.0,0.0
12,0.34248459339141846,81.875,0.8057111501693726,75.0,45.87286448478699,0,0.0,0.0
13,0.3365674912929535,83.75,0.907749593257904,72.5,45.66385078430176,0,0.0,0.0
14,0.28847748041152954,87.8125,0.9319404363632202,72.5,49.55914545059204,1,0.7311360836029053,46.36115741729736
15,0.2903638780117035,86.25,0.8854418396949768,72.5,49.221540689468384,0,0.0,0.0
16,0.2702163755893707,87.5,0.9609264135360718,72.5,52.14486074447632,0,0.0,0.0
17,0.24452370405197144,87.8125,1.0087217092514038,71.25,46.02800965309143,0,0.0,0.0
18,0.2453855276107788,90.0,1.0584851503372192,68.75,47.22497296333313,0,0.0,0.0
19,0.22964638471603394,90.625,1.0513715744018555,70.0,48.825209617614746,1,0.7442286014556885,46.36115741729736
