epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_duration_sec,checkpoint_count,checkpoint_time_sec,checkpoint_size_mb
0,0.6887630224227905,56.25,0.7450515031814575,42.5,26.53538179397583,1,2.3845391273498535,46.357940673828125
1,0.6140381097793579,66.875,0.7567387819290161,53.75,26.30147933959961,1,2.5717520713806152,46.357940673828125
2,0.5560718178749084,73.75,0.7369883060455322,65.0,25.243907690048218,1,2.212005138397217,46.357940673828125
3,0.49574989080429077,77.1875,0.755935549736023,61.25,20.263781785964966,0,0.0,0.0
4,0.4259887635707855,80.625,0.7969149351119995,58.75,20.32077407836914,1,2.188845157623291,46.357940673828125
5,0.4314519464969635,78.4375,0.7501036524772644,72.5,20.368043899536133,1,2.4122962951660156,46.357940673828125
6,0.4018535017967224,80.9375,0.7888315916061401,71.25,20.313477754592896,0,0.0,0.0
7,0.3898022472858429,81.5625,0.7721913456916809,70.0,20.41696262359619,0,0.0,0.0
8,0.370655357837677,82.1875,0.7641409635543823,70.0,20.514474630355835,0,0.0,0.0
9,0.3636503219604492,83.75,0.8041495680809021,71.25,20.44032621383667,1,0.6375176906585693,46.35889911651611
10,0.31933507323265076,84.375,0.8215726613998413,72.5,21.96117091178894,0,0.0,0.0
11,0.3378690779209137,83.4375,0.8469451665878296,73.75,20.372124195098877,1,0.6846446990966797,46.35889911651611
12,0.32702940702438354,84.6875,0.8368520140647888,73.75,21.88187074661255,0,0.0,0.0
13,0.3152923882007599,84.6875,0.8705766797065735,71.25,20.411115646362305,0,0.0,0.0
14,0.2720789313316345,86.25,0.897086501121521,72.5,20.341381788253784,1,2.3370046615600586,46.35889911651611
15,0.2894887924194336,86.875,0.8683229684829712,70.0,23.433634996414185,0,0.0,0.0
16,0.26874256134033203,88.4375,0.9002132415771484,71.25,25.719287157058716,0,0.0,0.0
17,0.25039756298065186,88.125,0.9252609014511108,70.0,25.615396976470947,0,0.0,0.0
18,0.2668783664703369,89.6875,0.9087010622024536,70.0,25.077269077301025,0,0.0,0.0
19,0.25839006900787354,88.125,0.8698750734329224,71.25,22.788034677505493,1,0.7052943706512451,46.35889911651611
