epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_duration_sec,checkpoint_count,checkpoint_time_sec,checkpoint_size_mb
0,0.6887630224227905,56.25,0.7450515031814575,42.5,23.76183009147644,1,0.5975286960601807,46.357940673828125
1,0.6140381097793579,66.875,0.7567387819290161,53.75,27.315487384796143,1,0.684664249420166,46.357940673828125
2,0.5560718178749084,73.75,0.7369883060455322,65.0,20.17441749572754,1,0.632789134979248,46.357940673828125
3,0.49574989080429077,77.1875,0.755935549736023,61.25,20.16901969909668,0,0.0,0.0
4,0.4259887635707855,80.625,0.7969149351119995,58.75,20.237306833267212,1,0.7178049087524414,46.357940673828125
5,0.4314519464969635,78.4375,0.7501036524772644,72.5,20.273178339004517,1,0.6239757537841797,46.357940673828125
6,0.4018535017967224,80.9375,0.7888315916061401,71.25,20.328158378601074,0,0.0,0.0
7,0.3898022472858429,81.5625,0.7721913456916809,70.0,25.331775188446045,0,0.0,0.0
8,0.370655357837677,82.1875,0.7641409635543823,70.0,20.504361152648926,0,0.0,0.0
9,0.3636503219604492,83.75,0.8041495680809021,71.25,20.420268535614014,1,0.6591298580169678,46.35889911651611
10,0.31933507323265076,84.375,0.8215726613998413,72.5,20.46044683456421,0,0.0,0.0
11,0.3378690779209137,83.4375,0.8469451665878296,73.75,20.44896936416626,1,0.7102162837982178,46.35889911651611
12,0.32702940702438354,84.6875,0.8368520140647888,73.75,20.397526502609253,0,0.0,0.0
13,0.3152923882007599,84.6875,0.8705766797065735,71.25,20.39540386199951,0,0.0,0.0
14,0.2720789313316345,86.25,0.897086501121521,72.5,20.44341516494751,1,0.6077172756195068,46.35889911651611
15,0.2894887924194336,86.875,0.8683229684829712,70.0,22.577218055725098,0,0.0,0.0
16,0.26874256134033203,88.4375,0.9002132415771484,71.25,27.849053144454956,0,0.0,0.0
17,0.25039756298065186,88.125,0.9252609014511108,70.0,20.36666512489319,0,0.0,0.0
18,0.2668783664703369,89.6875,0.9087010622024536,70.0,20.387903690338135,0,0.0,0.0
19,0.25839006900787354,88.125,0.8698750734329224,71.25,20.407042980194092,1,0.583899974822998,46.35889911651611
