epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_duration_sec,checkpoint_count,checkpoint_time_sec,checkpoint_size_mb
0,0.6887630224227905,56.25,0.7450515031814575,42.5,27.48942804336548,1,0.6302721500396729,46.36621856689453
1,0.6140381097793579,66.875,0.7567387819290161,53.75,25.17517328262329,1,0.6086623668670654,46.36621856689453
2,0.5560718178749084,73.75,0.7369883060455322,65.0,20.92685031890869,1,0.593881368637085,46.36621856689453
3,0.49574989080429077,77.1875,0.755935549736023,61.25,20.892255067825317,0,0.0,0.0
4,0.4259887635707855,80.625,0.7969149351119995,58.75,21.06425166130066,0,0.0,0.0
5,0.4314519464969635,78.4375,0.7501036524772644,72.5,20.379137754440308,1,0.5995094776153564,46.36621856689453
6,0.4018535017967224,80.9375,0.7888315916061401,71.25,20.368386030197144,0,0.0,0.0
7,0.3898022472858429,81.5625,0.7721913456916809,70.0,20.40826177597046,0,0.0,0.0
8,0.370655357837677,82.1875,0.7641409635543823,70.0,20.40217113494873,0,0.0,0.0
9,0.3636503219604492,83.75,0.8041495680809021,71.25,20.42475414276123,0,0.0,0.0
10,0.31933507323265076,84.375,0.8215726613998413,72.5,20.46250295639038,0,0.0,0.0
11,0.3378690779209137,83.4375,0.8469451665878296,73.75,22.780408143997192,1,0.6126217842102051,46.36621856689453
12,0.32702940702438354,84.6875,0.8368520140647888,73.75,20.337029695510864,0,0.0,0.0
13,0.3152923882007599,84.6875,0.8705766797065735,71.25,20.364768028259277,0,0.0,0.0
14,0.2720789313316345,86.25,0.897086501121521,72.5,22.512080430984497,0,0.0,0.0
15,0.2894887924194336,86.875,0.8683229684829712,70.0,23.206862926483154,0,0.0,0.0
16,0.26874256134033203,88.4375,0.9002132415771484,71.25,25.527472972869873,0,0.0,0.0
17,0.25039756298065186,88.125,0.9252609014511108,70.0,20.395904541015625,0,0.0,0.0
18,0.2668783664703369,89.6875,0.9087010622024536,70.0,20.36299991607666,0,0.0,0.0
19,0.25839006900787354,88.125,0.8698750734329224,71.25,20.372167587280273,0,0.0,0.0
